,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kariba,-16.5167,28.8,80.2,71,20,5.32,ZW,1616421723
1,Albany,42.6001,-73.9662,51.01,36,0,2.13,US,1616421666
2,Norman Wells,65.282,-126.8329,-22.0,76,40,2.3,CA,1616421649
3,Kushmurun,52.4503,64.6311,16.48,91,17,8.05,KZ,1616421724
4,Hermanus,-34.4187,19.2345,77.0,59,0,8.99,ZA,1616421673
5,Puerto Ayora,-0.7393,-90.3518,80.01,90,100,2.13,EC,1616421724
6,East London,-33.0153,27.9116,73.4,64,20,9.22,ZA,1616421724
7,Torbay,47.6666,-52.7314,42.8,56,40,18.41,CA,1616421725
8,Tocopilla,-22.092,-70.1979,72.86,66,84,7.92,CL,1616421725
9,Tiksi,71.6872,128.8694,-20.15,98,100,6.46,RU,1616421668
10,Punta Arenas,-53.15,-70.9167,55.4,67,0,16.11,CL,1616421725
11,Pevek,69.7008,170.3133,-22.27,89,0,4.07,RU,1616421726
12,Cape Town,-33.9258,18.4232,82.4,34,0,11.5,ZA,1616421451
13,Arraial do Cabo,-22.9661,-42.0278,86.0,62,0,12.66,BR,1616421726
14,Mar del Plata,-38.0023,-57.5575,62.6,67,20,3.44,AR,1616421474
15,São Filipe,14.8961,-24.4956,70.63,75,0,8.75,CV,1616421727
16,Ambilobe,-13.2,49.05,79.18,91,100,1.72,MG,1616421727
17,Hong Kong,22.2855,114.1577,66.0,61,13,1.01,HK,1616421466
18,Vila Franca do Campo,37.7167,-25.4333,60.8,67,75,9.22,PT,1616421676
19,Carnarvon,-24.8667,113.6333,78.8,78,0,18.41,AU,1616421728
20,Qaqortoq,60.7167,-46.0333,23.0,50,75,4.61,GL,1616421728
21,Mataura,-46.1927,168.8643,54.0,96,70,1.99,NZ,1616421728
22,Port Elizabeth,-33.918,25.5701,71.6,49,0,8.05,ZA,1616421729
23,Palembang,-2.9167,104.7458,80.6,78,40,6.91,ID,1616421729
24,Atar,20.5169,-13.0499,90.81,8,0,5.61,MR,1616421729
25,Mahibadhoo,3.7833,72.9667,83.86,69,100,8.48,MV,1616421730
26,Atuona,-9.8,-139.0333,79.99,75,90,18.7,PF,1616421730
27,Port Alfred,-33.5906,26.891,69.57,61,8,11.43,ZA,1616421730
28,Pleshanovo,52.8333,53.4833,28.4,93,99,10.76,RU,1616421731
29,Busselton,-33.65,115.3333,53.01,79,54,14.07,AU,1616421731
30,Nuevo Ideal,24.8875,-105.0728,52.57,35,0,7.09,MX,1616421731
31,Fortuna,40.5982,-124.1573,44.01,100,90,4.61,US,1616421732
32,Manosque,43.8288,5.7869,61.0,38,0,23.02,FR,1616421732
33,Khatanga,71.9667,102.5,-13.83,78,73,12.12,RU,1616421732
34,Katsuura,35.1333,140.3,48.99,51,88,20.49,JP,1616421733
35,Karratha,-20.7377,116.8463,83.21,57,10,14.61,AU,1616421733
36,Hilo,19.7297,-155.09,66.2,88,90,3.44,US,1616421209
37,Bethel,41.3712,-73.414,50.0,42,0,2.75,US,1616421660
38,Batticaloa,7.7102,81.6924,81.27,73,100,8.43,LK,1616421734
